station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBUF,2022-11-19 00:00:00,5,34.3,22499.0,-52.7,-87.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,34.0,22555.0,M,M,260.0,63,77.0,70.0
KBUF,2022-11-19 00:00:00,5,32.4,22866.0,-52.5,-87.5,M,M,M,M
KBUF,2022-11-19 00:00:00,5,31.0,23149.0,-54.7,-88.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,30.9,23164.0,M,M,275.0,40,77.0,72.0
KBUF,2022-11-19 00:00:00,4,30.0,23360.0,-54.1,-88.1,260.0,23,77.0,72.0
KBUF,2022-11-19 00:00:00,5,29.1,23555.0,-53.9,-87.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,28.1,23774.0,M,M,260.0,23,77.0,72.0
KBUF,2022-11-19 00:00:00,6,26.8,24079.0,M,M,220.0,25,77.0,73.0
KBUF,2022-11-19 00:00:00,5,26.6,24126.0,-57.9,-88.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,25.5,24384.0,M,M,220.0,26,77.0,73.0
KBUF,2022-11-19 00:00:00,5,25.5,24391.0,-57.5,-90.5,M,M,M,M
KBUF,2022-11-19 00:00:00,5,25.1,24491.0,-54.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,23.2,24993.0,M,M,255.0,50,76.0,74.0
KBUF,2022-11-19 00:00:00,5,22.9,25074.0,-56.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,4,20.0,25950.0,-54.9,-88.9,250.0,54,76.0,77.0
KBUF,2022-11-19 00:00:00,5,19.0,26278.0,-53.7,-88.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,18.3,26517.0,M,M,245.0,59,76.0,79.0
KBUF,2022-11-19 00:00:00,5,16.6,27137.0,-56.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,15.8,27432.0,M,M,255.0,53,76.0,82.0
KBUF,2022-11-19 00:00:00,5,15.2,27698.0,-53.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,6,15.1,27736.0,M,M,255.0,48,76.0,83.0
KBUF,2022-11-19 00:00:00,5,14.6,27955.0,-55.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,6,14.4,28041.0,M,M,260.0,59,76.0,83.0
KBUF,2022-11-19 00:00:00,5,14.3,28088.0,-53.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,6,12.5,28956.0,M,M,280.0,44,76.0,86.0
KBUF,2022-11-19 00:00:00,5,12.4,28995.0,-57.3,-89.3,M,M,M,M
KBUF,2022-11-19 00:00:00,5,11.5,29473.0,-54.9,-88.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,11.3,29565.0,M,M,260.0,38,76.0,87.0
KBUF,2022-11-19 00:00:00,5,10.6,29990.0,-56.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,4,10.0,30360.0,-56.3,-89.3,260.0,63,76.0,90.0
KBUF,2022-11-19 00:00:00,6,9.8,30486.0,M,M,260.0,67,76.0,90.0
KBUF,2022-11-19 00:00:00,5,9.5,30685.0,-55.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,8.9,31095.0,M,M,265.0,75,77.0,92.0
KBUF,2022-11-19 00:00:00,5,8.5,31389.0,-56.9,-89.9,M,M,M,M
KBUF,2022-11-19 00:00:00,6,7.7,32010.0,M,M,270.0,100,77.0,97.0
KBUF,2022-11-19 00:00:00,5,7.6,32098.0,-55.7,-89.7,M,M,M,M
KBUF,2022-11-19 00:00:00,6,7.3,32314.0,M,M,270.0,89,77.0,98.0
KBUF,2022-11-19 00:00:00,5,7.2,32445.0,-51.1,-88.1,M,M,M,M
KBUF,2022-11-19 00:00:00,4,7.0,32640.0,-51.9,-87.9,270.0,100,77.0,100.0
KBUF,2022-11-19 00:00:00,6,6.7,32924.0,M,M,270.0,106,78.0,102.0
KBUF,2022-11-19 00:00:00,5,6.5,33116.0,-54.7,-88.7,M,M,M,M
KBUF,2022-11-19 00:00:00,5,6.3,33316.0,-53.5,-88.5,M,M,M,M
KBUF,2022-11-19 00:00:00,5,6.1,33522.0,-55.1,-89.1,M,M,M,M
KBUF,2022-11-19 00:00:00,5,5.8,33845.0,-52.1,-88.1,M,M,M,M
